-204.0002823,-8.365825653,414.2046814,-209.9046631,-8.450896263,413.7980652,-198.0959015,-8.280755043,414.6112976
-203.9060135,-8.359965324,413.2143707,-209.8105011,-8.446699142,412.8069763,-198.0015259,-8.273231506,413.6217651
-203.8113022,-8.354676247,412.2245331,-209.7157593,-8.441867828,411.8157654,-197.9068451,-8.267484665,412.6333008
-203.7161026,-8.350155831,411.2359009,-209.6203613,-8.436252594,410.8249817,-197.8118439,-8.264059067,411.6468201
-203.6203995,-8.344478131,410.2461701,-209.5247498,-8.43169117,409.8319397,-197.7160492,-8.257265091,410.6604004
-203.5244141,-8.338973522,409.2585297,-209.4287872,-8.426932335,408.8404236,-197.6200409,-8.251014709,409.6766357
-203.428093,-8.334143639,408.2714997,-209.3322906,-8.421517372,407.8487244,-197.5238953,-8.246769905,408.6942749
-203.3311005,-8.328835964,407.2838135,-209.2349548,-8.416492462,406.8554077,-197.4272461,-8.241179466,407.7122192
-203.2336655,-8.323603154,406.2979126,-209.1372375,-8.411383629,405.8634338,-197.3300934,-8.235822678,406.7323914
-203.1362458,-8.318825722,405.3119202,-209.0397797,-8.405862808,404.8707886,-197.2327118,-8.231788635,405.7530518
-203.0383072,-8.311774731,404.325882,-208.9416351,-8.40226841,403.8777771,-197.1349792,-8.221281052,404.7739868
-202.9396973,-8.305313111,403.3403321,-208.842804,-8.398096085,402.8852234,-197.0365906,-8.212530136,403.7954407
-202.8405457,-8.301898956,402.3545532,-208.7434845,-8.391329765,401.8925781,-196.9376068,-8.212468147,402.8165283
-202.7416535,-8.29645586,401.368866,-208.6442566,-8.386258125,400.9002686,-196.8390503,-8.206653595,401.8374634
-202.6424332,-8.290210724,400.382721,-208.5446472,-8.381796837,399.9077759,-196.7402191,-8.198624611,400.857666
-202.5431519,-8.28332901,399.3963013,-208.4449768,-8.377804756,398.9155273,-196.6413269,-8.188853264,399.8770752
-202.4436188,-8.278515339,398.4100647,-208.345108,-8.372119904,397.9238586,-196.5421295,-8.184910774,398.8962708
-202.3437271,-8.2754879,397.4232178,-208.2448883,-8.365017891,396.9318542,-196.4425659,-8.185957909,397.9145813
-202.243988,-8.275810719,396.4362946,-208.1447906,-8.355358124,395.9402466,-196.3431854,-8.196263313,396.9323425
-202.144188,-8.270429135,395.4493409,-208.0445557,-8.350133896,394.9490662,-196.2438202,-8.190724373,395.9496155
-202.0442353,-8.264113427,394.4620056,-207.9440155,-8.345592499,393.9577942,-196.144455,-8.182634354,394.966217
-201.944664,-8.261294365,393.4745484,-207.8434296,-8.338428497,392.9668274,-196.0458984,-8.184160233,393.9822693
-201.8449021,-8.256234646,392.4869843,-207.7430115,-8.332967758,391.9761047,-195.9467926,-8.179501534,392.9978638
-201.7449417,-8.250132561,391.4991455,-207.642395,-8.328284264,390.9852905,-195.8474884,-8.171980858,392.0130005
-201.6455231,-8.243629456,390.5114289,-207.541687,-8.323901176,389.9947815,-195.7493591,-8.163357735,391.0280762
-201.5466385,-8.23632288,389.5233612,-207.4416351,-8.320124626,389.004303,-195.6516418,-8.152521133,390.0424194
-201.4479599,-8.228523731,388.5351258,-207.3418427,-8.316710472,388.0138855,-195.5540771,-8.14033699,389.056366
-201.3489533,-8.220284462,387.5469971,-207.2416229,-8.313592911,387.0236511,-195.4562836,-8.126976013,388.070343
-201.2499619,-8.217318535,386.5586396,-207.1414032,-8.306759834,386.0334473,-195.3585205,-8.127877235,387.0838318
-201.1510544,-8.217450619,385.5701447,-207.0411987,-8.297808647,385.0433044,-195.26091,-8.13709259,386.0969849
-201.0530167,-8.210348606,384.5816651,-206.9410248,-8.293926239,384.0532532,-195.1650085,-8.126770973,385.1100769
-200.9548493,-8.207399845,383.5929566,-206.8409424,-8.287153244,383.0632324,-195.0687561,-8.127646446,384.1226807
-200.8565903,-8.207943916,382.6041565,-206.7409363,-8.27798748,382.0733032,-194.9722443,-8.137900352,383.1350098
-200.7587051,-8.199794769,381.6153412,-206.6416473,-8.274733543,381.0834961,-194.8757629,-8.124855995,382.1471863
-200.6606827,-8.193199635,380.6263123,-206.5420685,-8.270344734,380.0936584,-194.7792969,-8.116054535,381.1589661
-200.5625992,-8.188304425,379.6372376,-206.4422455,-8.26474762,379.1040039,-194.6829529,-8.111861229,380.1704712
-200.4855042,-8.182128429,378.8765717,-206.3628998,-8.261942863,378.3428345,-194.6081085,-8.102313995,379.4103088
-200.3765488,-8.174549103,377.7638245,-206.2519836,-8.256991386,377.2297668,-194.5011139,-8.092106819,378.2978821
-200.2814484,-8.168561936,376.8013001,-206.1553497,-8.25232029,376.2671509,-194.407547,-8.084803581,377.3354492
-200.1710968,-8.161690235,375.6709443,-206.0434723,-8.246763229,375.1367188,-194.2987213,-8.076617241,376.2051697
-200.061882,-8.154888153,374.5532074,-205.932724,-8.241275787,374.0188904,-194.19104,-8.068500519,375.0875244
-199.9701767,-8.149102688,373.6283112,-205.8394928,-8.236804008,373.0939026,-194.1008606,-8.061401367,374.1627197
-199.8605576,-8.143350125,372.5061646,-205.7279663,-8.230759621,371.9717102,-193.9931488,-8.055940628,373.0406189
-199.7815704,-8.139748573,371.7219544,-205.6470947,-8.226121902,371.1872864,-193.9160461,-8.053375244,372.2566223
-199.6838608,-8.135189533,370.7331696,-205.5484314,-8.219511032,370.1973267,-193.8192902,-8.050868034,371.2690125
-199.5861435,-8.129336834,369.7441864,-205.4494019,-8.215058327,369.20755,-193.7228851,-8.043615341,370.2808228
-199.4883652,-8.12238884,368.7548981,-205.3500061,-8.212396622,368.2178345,-193.6267242,-8.032381058,369.2919617
